epoch	global_step	loss	test_loss	test_accuracy
1	-1	-1.0	0.11742062078819156	0.9690656565656566	
2	-1	-1.0	0.11664346514086414	0.9683712121212121	
3	-1	-1.0	0.12315888641088084	0.9662247474747475	
4	-1	-1.0	0.1298258443117686	0.9656565656565657	
5	-1	-1.0	0.13735884341121615	0.9686868686868687	
6	-1	-1.0	0.14966803324246444	0.9700757575757576	
7	-1	-1.0	0.1591850796711274	0.9706439393939394	
8	-1	-1.0	0.1748081053424725	0.970770202020202	
